id,dataset,resource,base,model,property,type,ref,source,prepare,level,status,visibility,access,uri,eli,title,description
,example,,,,,dataset,,,,,,,,,,,
,,wsdl_resource1,,,,wsdl,,http://127.0.0.1:8001/api/v1/documents/soap/documents?wsdl,,,,,,,,,
,,documents,,,,soap,,DocumentService.DocumentApplication.DocumentApplication.documents,wsdl(wsdl_resource1),,,,,,,,
,,,,,,param,typ,document_filter/type,input(),,,,,,,,
,,,,,,param,stat,document_filter/status,input(),,,,,,,,
,,,,,,,,,,,,,,,,,
5d5bfb77-47b4-46b8-b305-a2689d616c1d,,,,Document,,,id,/,,,,,open,,,,
,,,,,id,integer,,id,,4,,,open,,,,
,,,,,number,string,,number,,4,,,open,,,,
,,,,,received,datetime,D,received,,4,,,open,,,,
,,,,,type,string,,type,,4,,,open,,,,
,,,,,,enum,,ORDER,,4,,,open,,,,
,,,,,,,,LETTER,,4,,,open,,,,
,,,,,status,string,,status,,4,,,open,,,,
,,,,,,enum,,REGISTERED,,4,,,open,,,,
,,,,,,,,AMENDMENT,,4,,,open,,,,
,,,,,,,,DEREGISTERED,,4,,,open,,,,
,,,,,creation_date,date,,creation_date,,4,,,open,,,,
,,,,,creation_time,time,,creation_time,,4,,,open,,,,
,,,,,_created,datetime,,,"creation_date+""T""+creation_time",4,,,open,,,,
,,,,,content,binary,,content,,4,,,open,,,,
,,,,,,comment,ref,,"update(ref: ""base64"")",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,typ,string,,,param(typ),,,,,,,,
,,,,,stat,string,,,param(stat),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,wsdl_resource2,,,,wsdl,,http://127.0.0.1:8001/api/v1/documents/soap/document_authors?wsdl,,,,,,,,,
,,document_authors,,,,soap,,DocumentAuthorService.DocumentApplication.DocumentApplication.document_authors,wsdl(wsdl_resource2),,,,,,,,
,,,,,,param,nam,document_author_filter/name,input(),,,,,,,,
,,,,,,param,surn,document_author_filter/surname,input(),,,,,,,,
,,,,,,param,docu,document_author_filter/document_id,input(),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,DocumentAuthor,,,id,/,,,,,,,,,
,,,,,id,integer,,id,,4,,,open,,,,
,,,,,document_id,integer,,document_id,,4,,,open,,,,
,,,,,,comment,ref,,"update(ref: ""Document"")",4,,,open,,,,
,,,,,name,string,,name,,4,,,open,,,,
,,,,,surname,string,,surname,,4,,,open,,,,
,,,,,,,,,,4,,,protected,,,,
,,,,,,comment,property,,"update(property: ""passport"", type: ""file"")",,,,,,,,
,,,,,passport_name,string,,passport_title,,4,,,protected,,,,
,,,,,passport_data,binary,,passport_data,,4,,,protected,,,,
,,,,,nam,string,,,param(nam),,,,,,,,
,,,,,surn,string,,,param(surn),,,,,,,,
,,,,,docu,integer,,,param(docu),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,wsdl_resource3,,,,wsdl,,http://127.0.0.1:8001/api/v1/countries/soap/continents?wsdl,,,,,,,,,
,,continents,,,,soap,,ContinentService.CountryApplication.CountryApplication.continents,wsdl(wsdl_resource3),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Continent,,,code,/,,5,,,,skos:concept,,,
,,,,,code,integer required,,code,,5,,,open,,,,
,,,,,name,string,,name,,5,,,protected,,,,
,,,,,_label,string,,name,,5,,,protected,,,,
,,,,,,,,,,,,,,,,,
,,wsdl_resource4,,,,wsdl,,http://127.0.0.1:8001/api/v1/countries/soap/countries?wsdl,,,,,,,,,
,,countries,,,,soap,,CountryService.CountryApplication.CountryApplication.countries,wsdl(wsdl_resource4),,,,,,,,
,,,,,,param,cod,country_filter/code,input(),,,,,,,,
,,,,,,param,titl,country_filter/title,input(),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,Country,,,id,/,,5,,,open,locn,Location,,
,,,,,id,integer required,,id,,5,,,open,dct,identifier,,
,,,,,code,string,,code,,4,,,open,,,,
,,,,,title,text,,,,0,,,protected,,,,
,,,,,title_lt,string,,title_lt,,4,,,open,,,,
,,,,,,comment,ref,,"update(property: ""title@lt"")",,,,,,,,
,,,,,title_en,string,,title_en,,4,,,open,,,,
,,,,,,comment,ref,,"update(property: ""title@en"")",,,,,,,,
,,,,,continent_id,string,,continent_id,,4,,,open,,,,
,,,,,,comment,ref,,"update(type: ""ref"")",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,cod,string,,,param(cod),,,,,,,,
,,,,,titl,string,,,param(titl),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,wsdl_resource5,,,,wsdl,,http://127.0.0.1:8001/api/v1/cities/soap/cities?wsdl,,,,,,,,,
,,cities,,,,soap,,CityNameService.CitiesApplication.CitiesApplication.cities,wsdl(wsdl_resource5),,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
